Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2000-04-08 00:00:00,21,32.6,26.9,87,16,6,4,45,0,N 
2000-04-09 00:00:00,22,31.6,25.7,87,27,4.6,3,180,0,N 
2000-04-10 00:00:00,21,32.6,26.8,82,8888,7,4,360,0,N 
2000-04-11 00:00:00,22,33.6,26.4,83,0,7.3,6,180,0,N 
2000-04-12 00:00:00,21,32.4,27.3,80,1,6.9,5,225,0,S 
2000-04-13 00:00:00,22,31,25.9,88,36,3.4,3,360,1,N 
2000-04-14 00:00:00,21,31,26.1,90,8888,6.4,3,90,0,E 
2000-04-15 00:00:00,21,32.4,26.8,83,21,6.7,3,180,0,W 
2000-04-16 00:00:00,22,32.4,27,86,8888,6.1,3,135,1,N 
2000-04-17 00:00:00,23,33.2,27.9,79,8888,5.8,4,180,1,N 
2000-04-18 00:00:00,22,29,26.2,92,6,0,2,90,0,SW
2000-04-19 00:00:00,22,32.8,26,86,8888,6.6,6,360,0,N 
2000-04-20 00:00:00,22,33.2,26.8,81,5,5.7,3,135,1,NE
2000-04-21 00:00:00,22,30.8,26.3,86,9,2.6,2,135,0,N 
2000-04-22 00:00:00,22,33.8,26.6,85,0,7,5,225,0,N 
2000-04-23 00:00:00,22,33.6,27.5,83,79,6.7,7,360,0,SE
2000-04-24 00:00:00,22,32.6,27.2,83,36,8,3,360,0,N 
2000-04-25 00:00:00,22,32.2,27,84,1,5.8,3,180,0,S 
2000-04-26 00:00:00,23,32.6,27.4,85,5,7.3,3,135,1,SE
2000-04-27 00:00:00,21,32.8,26.5,85,8888,6.3,8,360,0,N 
2000-04-28 00:00:00,22,31.6,26.5,85,96,7.5,2,360,0,N 
2000-04-29 00:00:00,22,31.6,26.4,88,1,5.1,2,360,0,N 
2000-04-30 00:00:00,22,31.8,26.4,86,3,6.2,4,360,1,N 
2000-05-01 00:00:00,23,31.4,26.5,88,63,5,4,180,0,N 
2000-05-02 00:00:00,22,30,26.5,87,1,1.7,3,360,0,N 
2000-05-03 00:00:00,23,30.8,26.1,85,3,3.8,4,360,1,N 
2000-05-04 00:00:00,22,31.2,26.1,89,8888,5.2,3,135,0,N 
2000-05-05 00:00:00,23,32.4,26.7,84,21,6.8,3,135,0,N 
2000-05-06 00:00:00,23,31,25.8,91,3,5.6,3,135,0,SE
2000-05-07 00:00:00,22,30,26,91,28,3,3,135,0,SW
2000-05-08 00:00:00,22,29.5,26,89,57,1.4,2,135,0,N 
2000-05-09 00:00:00,22,30.6,25.8,90,8888,1.9,4,180,0,S 
2000-05-10 00:00:00,22,31.4,26.8,86,53,4.5,3,135,1,N 
2000-05-11 00:00:00,23,32.6,27.7,82,0,7,4,180,1,S 
2000-05-12 00:00:00,22,31.2,27.7,84,0,1.6,2,180,0,N 
2000-05-13 00:00:00,22,32.8,27.6,84,0,6.8,3,90,0,E 
2000-05-14 00:00:00,23,31.6,26.9,88,51,3.5,2,360,0,N 
2000-05-15 00:00:00,24,32.6,28.3,82,0,6.2,3,90,0,SW
2000-05-16 00:00:00,22,33.2,28.2,86,4,6.3,6,360,0,N 
2000-05-17 00:00:00,22,32.4,26.6,85,5,5.4,3,135,0,N 
2000-05-18 00:00:00,23,33,27.3,82,8888,5.5,4,360,1,N 
2000-05-19 00:00:00,22,32.8,26.9,83,0,6.6,3,135,1,N 
2000-05-20 00:00:00,22,32.7,26.2,87,57,6.3,4,90,0,N 
2000-05-21 00:00:00,22,32.2,26.8,87,56,6.8,3,360,0,N 
2000-05-22 00:00:00,22,33,26.4,88,12,6.6,8,225,0,N 
2000-05-23 00:00:00,22,32,26.9,84,14,6.4,4,90,0,N 
2000-05-24 00:00:00,22,32,27.5,86,0,6.3,3,135,0,N 
2000-05-25 00:00:00,22,31.4,26.9,84,0,4.6,2,90,0,E 
2000-05-26 00:00:00,21,31.2,26,85,8888,4.4,5,225,0,SE
2000-05-27 00:00:00,22,30.4,26.4,83,49,5.5,3,45,0,S 
2000-05-28 00:00:00,21,30.8,26,88,1,5.7,4,360,0,S 
2000-05-29 00:00:00,22,31.4,26.1,86,13,6.7,3,90,0,S 
2000-05-30 00:00:00,22,31,25.7,87,8888,2.7,5,45,1,N 
2000-05-31 00:00:00,21,30.8,26,87,1,4.9,4,270,0,N 
2000-06-01 00:00:00,22,32.1,25.8,86,47,6.3,8,135,0,SW
2000-06-02 00:00:00,21,30.6,25.8,89,51,3,3,135,0,SW
2000-06-03 00:00:00,22,32,26.6,83,18,6.6,4,360,0,N 
2000-06-04 00:00:00,22,31.2,26.3,88,23,3.3,5,45,0,N 
2000-06-05 00:00:00,21,30.6,26.2,89,53,2.2,3,360,1,N 
2000-06-06 00:00:00,22,30.8,26.3,87,7,3.7,5,360,1,N 
2000-06-07 00:00:00,22,31.4,26.4,87,8888,6.8,3,225,0,SW
2000-06-08 00:00:00,22,31,26.2,87,9,3.6,3,180,0,N 
2000-06-09 00:00:00,22,31.5,27.1,85,7,5.4,4,180,0,S 
2000-06-10 00:00:00,22,30.6,25.9,88,52,3.6,4,360,0,S 
2000-06-11 00:00:00,22,30.2,25.6,84,4,4.1,2,225,0,SW
2000-06-12 00:00:00,22,30.4,25.6,87,2,4.3,3,180,0,N 
2000-06-13 00:00:00,22,30.5,25.6,89,33,2.4,4,135,0,N 
2000-06-14 00:00:00,22,30.6,25.6,92,5,4.6,4,360,0,S 
2000-06-15 00:00:00,22,30.6,25.9,87,38,3.8,4,270,0,N 
2000-06-16 00:00:00,22,29,25.3,92,21,1.8,3,225,0,W 
2000-06-17 00:00:00,22,31.4,26.4,82,17,6.7,2,90,0,N 
2000-06-18 00:00:00,22,29.3,25.9,88,4,4,4,90,0,W 
2000-06-19 00:00:00,22,30.9,26.7,83,2,3,2,45,0,W 
2000-06-20 00:00:00,21,26.7,24.7,93,12,0,3,180,0,S 
2000-06-21 00:00:00,21,30.4,24.8,88,1,4.8,4,360,0,SW
2000-06-22 00:00:00,21,27.8,24.5,91,99,0,2,135,0,N 
2000-06-23 00:00:00,21,28.6,25,89,8888,1.3,3,360,0,NE
2000-06-24 00:00:00,21,28.8,25.2,87,12,0,3,360,0,NE
2000-06-25 00:00:00,22,28.8,25.2,86,8888,1.2,2,270,0,S 
2000-06-26 00:00:00,21,30.2,25.7,88,8888,5.8,4,180,0,N 
2000-06-27 00:00:00,22,29.4,25.2,88,8888,1.5,3,135,0,N 
2000-06-28 00:00:00,22,30.2,25.4,89,8888,2.6,5,90,0,N 
2000-06-29 00:00:00,20,29.4,24.9,88,29,1.8,6,180,0,N 
2000-06-30 00:00:00,21,30.2,25,83,5,4.6,3,360,0,N 
2000-07-01 00:00:00,22,30.8,26.4,82,14,6.4,3,360,0,N 
2000-07-02 00:00:00,22,30.4,26,86,8888,0.9,2,225,0,N 
2000-07-03 00:00:00,23,30.6,26.4,88,8888,1.5,3,225,0,N 
2000-07-04 00:00:00,22,26.4,24.9,93,69,0,2,360,0,N 
2000-07-05 00:00:00,22,29.6,26,87,23,2.1,3,135,0,S 
2000-07-06 00:00:00,20,25.8,24.1,93,17,0,2,360,0,N 
2000-07-07 00:00:00,21,28.4,24.9,90,14,0,2,180,0,S 
2000-07-08 00:00:00,22,29.6,25.5,88,0,4,3,360,0,N 
2000-07-09 00:00:00,21,31.6,25.5,83,9,5.9,10,180,0,S 
2000-07-10 00:00:00,21,31.2,26.2,80,3,6.4,3,360,0,S 
2000-07-11 00:00:00,23,31.6,27.2,85,1,7,3,180,0,S 
2000-07-12 00:00:00,22,30.4,25.3,93,1,3.2,2,360,0,N 
2000-07-13 00:00:00,21,28.6,24.7,91,9,3,3,360,0,N 
2000-07-14 00:00:00,20,31,24.7,83,15,6.6,2,360,0,N 
2000-07-15 00:00:00,20,30.2,25.4,82,0,1.7,2,90,0,N 
2000-07-16 00:00:00,22,30.6,26.3,84,1,3.9,2,225,0,N 
2000-07-17 00:00:00,22,30.6,26.3,80,0,5.2,3,135,0,SE
2000-07-18 00:00:00,23,31.6,26.9,83,1,6.8,0,135,0,S 
2000-07-19 00:00:00,23,30.7,26.6,84,51,5.1,4,180,0,N 
2000-07-20 00:00:00,21,29.6,26,83,0,0.1,2,135,0,N 
2000-07-21 00:00:00,21,30.6,26.5,81,0,5.6,3,360,0,N 
2000-07-22 00:00:00,22,30.2,25.7,86,2,4.3,3,360,0,S 
2000-07-23 00:00:00,21,30.4,26.1,84,8888,3.8,3,360,0,N 
2000-07-24 00:00:00,22,30.8,25.8,86,55,5.8,4,360,0,S 
2000-07-25 00:00:00,21,31.6,26.4,81,0,6.7,4,180,0,N 
2000-07-26 00:00:00,22,31.4,25.7,86,37,5.8,3,135,0,W 
2000-07-27 00:00:00,20,30.3,25.2,88,25,4.2,5,135,0,NE
2000-07-28 00:00:00,20,30.4,24.5,87,70,3.7,4,360,1,NE
2000-07-29 00:00:00,21,29.4,25.8,85,1,1,4,90,1,W 
2000-07-30 00:00:00,21,31.8,26.1,87,8,6.6,3,135,0,S 
2000-07-31 00:00:00,21,28.9,25.2,87,12,2.2,2,180,0,S 
2000-08-01 00:00:00,22,30,25.6,90,10,2.6,4,180,0,S 
2000-08-02 00:00:00,21,28.4,25,89,3,1.1,6,180,1,N 
2000-08-03 00:00:00,21,26.4,23.3,93,11,0.1,6,225,1,N 
2000-08-04 00:00:00,20,25,23.1,92,3,0,5,360,1,N 
2000-08-05 00:00:00,21,31,25.7,83,3,4.4,3,360,0,N 
2000-08-06 00:00:00,21,30.4,25.6,88,14,5,4,90,1,NE
2000-08-07 00:00:00,21,30.6,25.5,87,1,4.3,3,135,0,N 
2000-08-08 00:00:00,21,27.2,24.8,90,65,1,3,360,0,S 
2000-08-09 00:00:00,22,31.4,26.2,84,1,6.5,3,360,0,N 
2000-08-10 00:00:00,19,27.4,24.5,88,3,1.4,3,360,0,N 
2000-08-11 00:00:00,20,29.4,24.9,82,1,5.4,2,180,0,S 
2000-08-12 00:00:00,20,31,25.5,81,0,5.8,2,180,0,S 
2000-08-13 00:00:00,21,29.6,25,86,1,3,2,225,0,N 
2000-08-14 00:00:00,20,29.4,23.9,87,8888,0.4,3,360,0,S 
2000-08-15 00:00:00,22,29.4,25.2,84,8888,2.2,2,225,0,S 
2000-08-16 00:00:00,20,30.9,25.7,86,8888,4.7,3,45,0,N 
2000-08-17 00:00:00,20,30.6,25.5,83,1,4.6,3,360,0,S 
2000-08-18 00:00:00,21,31.3,25.8,74,8888,6,3,45,1,N 
2000-08-19 00:00:00,21,31,25.9,80,8888,4.7,5,360,1,N 
2000-08-20 00:00:00,20,29.7,25.2,82,11,4.8,4,180,0,N 
2000-08-21 00:00:00,21,31.8,26.1,81,9,7.2,2,225,0,S 
2000-08-22 00:00:00,22,32.2,26.9,80,0,3.6,3,360,0,N 
2000-08-23 00:00:00,23,30.8,26.8,86,9,2.1,2,45,0,NE
2000-08-24 00:00:00,23,31.3,27.2,85,1,3.2,3,360,0,N 
2000-08-25 00:00:00,22,32,26,86,0,5.2,8,360,0,S 
2000-08-26 00:00:00,21,32.6,26.4,84,34,7.2,3,135,0,W 
2000-08-27 00:00:00,22,32.5,27.4,82,1,7.7,2,225,0,SE
2000-08-28 00:00:00,22,32.2,26.4,82,0,4.5,3,360,0,N 
2000-08-29 00:00:00,22,32.4,26.5,82,8888,5.9,2,135,0,SW
2000-08-30 00:00:00,22,32.2,26.7,81,8888,8,2,135,0,N 
2000-08-31 00:00:00,22,32.2,26.5,87,0,5,3,90,0,SE
2000-09-01 00:00:00,22,32,27.1,81,25,5.4,3,135,0,N 
2000-09-02 00:00:00,22,33.1,27.6,77,0,7.3,3,360,0,N 
2000-09-03 00:00:00,22,32.8,27.4,77,1,8,2,180,0,NE
2000-09-04 00:00:00,22,32.7,27.9,76,0,8,2,180,0,S 
2000-09-05 00:00:00,21,33.1,26.4,80,0,7,3,360,1,N 
2000-09-06 00:00:00,22,33.2,26.6,78,8888,7.8,2,135,0,SE
2000-09-07 00:00:00,22,32.5,27.3,80,0,6,2,360,0,NE
2000-09-08 00:00:00,19,29.8,25.4,89,11,2.9,5,45,1,N 
2000-09-09 00:00:00,20,32.3,26.1,77,2,7.7,2,360,0,N 
2000-09-10 00:00:00,21,32.2,26.4,76,0,8,5,135,0,N 
2000-09-11 00:00:00,20,32.2,26.3,79,0,4.5,4,45,0,N 
2000-09-12 00:00:00,20,33.2,26.5,78,6,8,3,270,0,N 
2000-09-13 00:00:00,21,32.6,26.6,74,0,8,3,135,0,N 
2000-09-14 00:00:00,21,29.4,25.7,77,0,0.2,1,360,0,N 
2000-09-15 00:00:00,21,30.2,25.6,82,0,1.5,3,360,0,N 
2000-09-16 00:00:00,21,31.8,26.5,78,8888,2.6,2,270,0,N 
2000-09-17 00:00:00,22,30.3,25.9,88,8888,1.1,2,225,0,N 
2000-09-18 00:00:00,22,29.4,25.5,85,4,0.8,3,360,1,N 
2000-09-19 00:00:00,21,30.8,27.1,80,2,6.1,4,90,0,N 
2000-09-20 00:00:00,21,31.6,26.1,88,7,3.8,5,360,0,N 
2000-09-21 00:00:00,21,31.7,25.9,84,3,6.4,4,360,0,N 
2000-09-22 00:00:00,21,31.5,25.7,84,12,3.7,7,90,0,N 
2000-09-23 00:00:00,22,32.2,26.4,81,21,7.5,5,360,1,N 
2000-09-24 00:00:00,21,33,27.5,78,0,7.5,5,135,0,E 
2000-09-25 00:00:00,21,32.8,27.3,78,42,7.8,3,135,0,SW
2000-09-26 00:00:00,22,33.2,27.2,70,0,8,5,135,1,N 
2000-09-27 00:00:00,22,33.1,27.3,80,8888,7.5,4,360,0,S 
2000-09-28 00:00:00,22,33,26.3,86,80,6.6,3,270,0,SW
2000-09-29 00:00:00,20,30.5,26.1,85,19,4.1,8,135,0,N 
2000-09-30 00:00:00,22,32.8,26.9,78,8,8,4,360,1,N 
2000-10-01 00:00:00,22,33.2,27.7,76,2,8,3,360,0,N 
2000-10-02 00:00:00,22,32.2,27.2,81,19,6.2,2,90,0,N 
2000-10-03 00:00:00,22,31.9,26.6,82,2,5.4,3,225,0,N 
2000-10-04 00:00:00,22,32,27.2,82,8888,6.5,4,180,0,N 
2000-10-05 00:00:00,22,32.8,27,82,7,6.8,4,225,0,N 
2000-10-06 00:00:00,22,33,27.7,78,2,6.8,4,180,0,N 
2000-10-07 00:00:00,21,30.6,25,87,8888,1.4,5,45,1,N 
2000-10-08 00:00:00,21,30.4,25.6,85,9,3.1,4,135,0,N 
2000-10-09 00:00:00,20,31,26.1,86,8888,1.4,4,45,1,N 
2000-10-10 00:00:00,21,30.4,25.5,88,51,2.2,2,360,0,N 
2000-10-11 00:00:00,22,33.2,27.1,86,0,6.2,3,90,0,N 
2000-10-12 00:00:00,21,31.2,25.7,86,8888,6.1,6,225,0,N 
2000-10-13 00:00:00,20,31.4,26.4,85,9,4.9,6,225,1,N 
2000-10-14 00:00:00,23,33.4,27.8,81,0,6,6,270,0,S 
2000-10-15 00:00:00,21,33.4,27.1,87,0,5.8,9,270,0,N 
2000-10-16 00:00:00,22,32,26.4,87,28,5.2,7,270,0,N 
2000-10-17 00:00:00,21,32,26.6,83,65,5.2,3,360,0,N 
2000-10-18 00:00:00,22,32.2,27.4,84,0,4.6,5,135,0,SW
2000-10-19 00:00:00,22,33.1,27.3,85,6,6.6,4,270,0,N 
2000-10-20 00:00:00,22,31.2,27.3,84,52,3.1,4,135,0,W 
2000-10-21 00:00:00,21,33,26.9,85,1,4.6,6,135,0,N 
2000-10-22 00:00:00,22,32,26.8,84,4,5.4,2,135,0,N 
2000-10-23 00:00:00,22,31.8,26.2,86,0,3,3,225,0,N 
2000-10-24 00:00:00,22,30.6,26.3,88,82,1.7,4,360,0,SW
2000-10-25 00:00:00,22,31.2,25.9,91,4,3.5,3,225,0,S 
2000-10-26 00:00:00,21,32.2,26.3,87,30,4.7,7,180,0,W 
2000-10-27 00:00:00,22,32.6,27,82,0,6.3,2,180,0,S 
2000-10-28 00:00:00,21,32.6,27.8,75,8888,7.6,2,360,0,N 
2000-10-29 00:00:00,22,33,27.6,76,0,8,3,135,0,SE
2000-10-30 00:00:00,23,33.2,27.4,83,0,6.1,4,360,0,N 
2000-10-31 00:00:00,23,32.4,28.2,81,1,6.2,4,90,0,SE
2000-11-01 00:00:00,22,32.4,27.2,84,0,5,5,225,0,SW
2000-11-02 00:00:00,22,33.4,27.6,83,5,6.2,3,90,0,SE
2000-11-03 00:00:00,22,33.4,28.2,84,2,7.4,3,360,0,SW
2000-11-04 00:00:00,22,32.9,27.8,82,8888,7.7,3,135,0,N 
2000-11-05 00:00:00,22,33,27.8,78,0,7.5,4,225,1,N 
2000-11-06 00:00:00,22,33.2,27.6,82,0,6.9,4,135,0,E 
2000-11-07 00:00:00,22,33,27.5,81,12,6.1,4,225,0,N 
2000-11-08 00:00:00,21,32.8,27.7,82,9,7,3,90,0,SE
2000-11-09 00:00:00,23,34.2,27.4,78,0,8,7,45,0,S 
2000-11-10 00:00:00,22,33.6,28,82,1,7.4,4,360,0,N 
2000-11-11 00:00:00,22,32.4,27.9,82,4,7.6,5,90,0,S 
2000-11-12 00:00:00,22,32.8,27.3,86,5,4.1,3,180,0,SW
2000-11-13 00:00:00,23,34.6,28.2,78,0,7.3,3,135,0,SE
2000-11-14 00:00:00,23,34.4,28.4,81,0,6.7,3,360,0,W 
2000-11-15 00:00:00,23,33.5,28.2,81,0,5.9,3,135,0,W 
2000-11-16 00:00:00,22,32.4,27.4,85,4,5.4,3,360,0,N 
2000-11-17 00:00:00,23,33.2,27.4,82,9,7.5,4,360,0,N 
2000-11-18 00:00:00,23,33.6,28.4,82,1,7.4,4,45,0,N 
2000-11-19 00:00:00,22,33.9,28.8,81,8,8,3,360,0,SW
2000-11-20 00:00:00,22,32.6,27.2,82,27,5.5,4,45,0,N 
2000-11-21 00:00:00,22,32.2,27.5,84,23,6.2,4,135,0,SW
2000-11-22 00:00:00,24,33.6,28.7,78,0,7.7,2,135,0,SE
2000-11-23 00:00:00,22,32,27.2,84,0,5.6,3,360,0,SE
2000-11-24 00:00:00,22,31.4,26,89,22,3.5,4,90,0,N 
2000-11-25 00:00:00,22,32.4,26.6,87,28,3.7,2,135,0,SW
2000-11-26 00:00:00,22,31.2,26.6,88,22,0,2,360,0,N 
2000-11-27 00:00:00,21,31,25.5,90,8888,2.3,2,90,0,N 
2000-11-28 00:00:00,22,31.8,26.5,85,1,2.9,3,360,0,N 
2000-11-29 00:00:00,22,34,27.6,80,10,3.4,4,180,0,N 
2000-11-30 00:00:00,22,33.4,27.1,81,0,1.5,3,360,0,N 
2000-12-01 00:00:00,23,34.5,28.2,80,0,7,4,180,0,NE
2000-12-02 00:00:00,23,34.5,27.8,80,8888,4.1,4,90,0,S 
2000-12-03 00:00:00,21,29.4,26.5,87,8888,0,4,360,2,N 
2000-12-04 00:00:00,21,31,26.6,84,8888,0.2,4,360,0,N 
2000-12-05 00:00:00,20,31,26.8,77,0,0.8,3,360,0,SW
2000-12-06 00:00:00,20,34.4,28,72,0,7.2,5,135,0,N 
2000-12-07 00:00:00,23,34.8,28.2,72,0,8,4,135,0,N 
2000-12-08 00:00:00,21,34.8,27,76,0,7.1,2,360,0,S 
2000-12-09 00:00:00,22,34.4,27.6,81,8888,4.8,4,90,1,N 
2000-12-10 00:00:00,23,31.1,27.3,86,34,0,2,360,1,S 
2000-12-11 00:00:00,23,33,27.5,83,33,6.7,4,90,0,N 
2000-12-12 00:00:00,21,31.8,26.7,88,8888,4.3,5,270,0,N 
2000-12-13 00:00:00,22,33,27.1,79,7,7.9,5,180,0,S 
2000-12-14 00:00:00,21,32.5,26.1,86,8888,4.3,5,360,0,N 
2000-12-15 00:00:00,21,31.6,26.6,83,65,8,4,270,0,SW
2000-12-16 00:00:00,22,32.6,26.8,85,8,5.4,3,90,0,E 
2000-12-17 00:00:00,22,32.5,27.1,84,1,5.8,3,135,0,SW
2000-12-18 00:00:00,23,32.4,27.5,84,30,3.4,3,180,0,SW
